HE1991	HE1992	HE1993	HE1994	HE1995	HE1996	HE1997	HE1998	HE1999	HE2000	HE2001	HE2002	HE2003	HE2004	HE2005	HE2006	HE2007	HE2008	HE2009	HE2010	HE2011	HE2012	HE2013	HE2014	HE2015	HE2016	HE2017
39.2228	41.9396	41.5903	43.5933	42.2099	43.0740	42.0827	41.2944	39.2160	41.4000	43.3388	41.3798	39.1441	38.0989	37.0329	37.1751	37.1508	34.0198	33.6664	31.8858	29.5766	29.2557	30.5348	31.3859	33.9925	33.9568	33.1117
32.7793	36.5898	38.3853	37.3136	37.3472	41.4600	38.5834	39.2845	40.3644	39.5000	39.4563	39.6862	40.7429	40.4748	36.4533	34.9683	36.7228	35.1494	35.9302	35.5095	34.7247	34.5905	34.5193	34.3640	34.5998	36.3509	32.7055
39.0287	40.0825	41.3472	40.2395	40.1780	36.6909	38.9691	36.7820	36.9137	36.1000	35.0857	35.7030	35.8605	34.9399	34.1961	30.4159	28.0053	26.1401	28.6392	29.0134	27.4269	27.3909	27.3903	27.5196	29.3299	28.6487	27.3127
49.5653	51.5140	54.4300	57.9498	54.1578	55.5361	54.4458	52.7142	51.6207	50.1000	49.7158	54.0535	53.1521	49.4994	45.3796	42.1943	40.0941	48.3651	47.9113	47.8510	47.0334	46.2863	47.0647	46.2824	47.3635	49.7064	40.7791
34.2658	34.1902	35.0028	33.5134	33.6863	34.5088	32.2936	32.2152	33.6519	32.8000	33.3910	33.0241	32.1175	31.0641	30.3158	28.9468	27.5638	26.5620	28.9672	28.5952	27.8462	28.2840	27.7361	26.4366	28.9486	29.3109	28.0022
16.4783	16.5854	16.2669	15.6404	15.0375	14.8933	14.0945	14.0488	13.6282	13.4000	13.5801	13.9569	13.6802	13.0912	12.6594	11.9844	11.6073	11.4785	13.1664	12.2057	11.6834	11.5765	11.5193	11.0609	12.1170	12.3482	12.0403
37.2700	37.5724	38.9058	41.9923	39.2235	39.9056	39.2582	39.3814	42.6964	42.6000	42.9559	41.8561	41.0552	40.9849	39.4251	38.0073	36.5002	35.4131	35.3235	34.6584	32.8452	32.8975	38.8069	36.2292	35.6633	35.9472	34.4665
46.4477	46.6437	47.4069	47.2842	46.5584	46.1678	46.7909	45.6830	47.0036	46.2000	46.3196	41.6797	43.9477	40.7547	39.2544	38.3511	37.9849	36.9577	38.5457	37.0759	35.7847	36.0608	36.2016	34.4057	38.0225	39.9170	39.3275
18.6530	18.5347	18.8010	18.5957	17.9857	18.9237	18.4276	19.0177	19.3233	18.9000	18.9935	18.8902	18.4603	17.1794	16.4001	15.3892	14.9507	14.9278	16.6801	15.2158	14.1418	14.0706	14.3229	14.7778	15.8927	16.9047	16.7755
15.6793	15.7618	15.5270	15.3518	14.9121	14.8502	15.0253	15.5452	16.3737	16.5000	16.0497	15.6132	14.8987	14.0590	14.0256	13.8978	13.2006	12.5516	12.7639	12.0886	11.8446	11.9454	11.6111	10.9683	11.4765	11.2722	11.0669
37.1314	37.3846	36.3920	36.1067	36.1332	37.9658	38.1356	39.0377	40.0876	39.1000	37.8748	38.5353	36.8431	36.2729	33.6897	31.8744	31.3374	28.9213	31.4124	29.8656	25.7428	25.2241	25.7597	25.9720	28.6472	30.0254	29.9425
34.0398	33.4431	33.9676	37.8790	36.1042	36.3004	37.5251	38.1227	37.5845	39.6000	38.1057	37.0641	34.4933	33.3584	33.1106	32.3633	32.1660	29.1700	29.4908	28.5446	26.4197	26.4982	25.6065	25.5915	29.0512	30.1001	27.9100
48.4335	50.0168	48.4474	54.6800	54.5151	55.0928	56.2858	56.3998	56.5258	48.0000	55.4251	54.9128	53.2221	53.1251	51.8161	50.8726	47.9814	46.6589	48.9581	46.0275	44.9506	45.0430	43.0864	41.6605	43.3727	44.4742	43.0216
54.7427	54.7442	56.3660	52.2978	49.9566	48.5757	51.2496	54.1713	49.6183	48.2000	48.9091	49.7676	47.7828	46.5279	45.1336	42.2938	43.4497	38.3408	41.5647	37.8162	35.1332	37.6944	37.2294	37.4597	43.7283	43.7408	42.2180
26.0355	24.9672	24.8725	25.0598	24.6244	24.3722	23.9261	22.7944	24.0976	23.9000	24.7332	24.3043	23.9365	23.7746	23.1650	22.9447	22.6926	22.0699	23.7396	23.4493	23.1135	22.3561	22.1939	21.9638	21.7094	21.3880	21.2420
43.8761	44.0700	43.6574	42.7006	39.4629	38.4852	42.0601	40.6261	41.4921	43.2000	42.8127	41.5914	41.6325	40.3345	39.3284	38.4639	37.6574	35.5704	35.2317	34.6367	34.4516	34.2340	33.1679	31.7019	32.9950	33.6420	33.6995
27.6158	28.6563	29.5846	31.4328	34.3887	33.7549	31.8988	33.2689	33.3781	32.0000	30.4406	29.7864	27.8824	26.5822	25.8392	25.0694	23.5676	21.5522	24.3856	24.6060	23.7230	24.5733	23.9737	23.8326	24.7041	23.6121	22.6516
34.5450	34.0171	33.6013	33.0363	26.7762	27.4621	28.4583	29.3869	29.3782	28.7000	29.4172	29.9005	30.0098	27.8378	27.4934	26.6824	24.6608	23.1431	26.0140	25.9736	26.2199	27.1157	27.0188	25.5612	26.5622	26.6683	25.2197
18.5606	17.7237	17.8269	17.9042	16.8872	16.3896	16.8260	16.1451	16.7327	16.8000	16.2166	16.9975	17.1819	15.8527	15.0763	14.3008	13.0035	12.0872	13.8233	13.5188	12.4026	12.5213	12.7036	12.0956	12.2481	12.2560	11.7401
15.2763	15.0273	15.8019	15.0844	14.3432	14.5995	14.3300	14.6285	14.5604	14.6000	14.5474	14.5856	13.9228	13.1591	12.5811	11.8357	11.1530	10.9276	13.2765	12.9950	12.0138	12.4373	11.9050	11.1430	12.0036	12.0957	11.6950
34.6685	32.3813	32.4833	32.4181	32.2637	31.7427	32.4958	31.7324	32.3912	32.1000	32.9499	33.1426	32.4234	32.1954	31.5045	30.9838	30.3945	30.3143	31.7577	30.3359	29.2333	28.9937	28.5951	27.9705	28.6025	27.4910	27.4857
37.5007	36.4899	37.0347	36.6265	36.3743	35.2824	36.0708	35.5113	37.4818	34.4000	35.0603	34.5545	34.9299	34.0999	32.9674	32.3463	31.7893	30.7853	33.9311	31.8434	30.0069	29.6657	29.1846	29.1907	31.0396	31.3335	30.5941
36.1636	35.1953	35.1320	35.2835	35.3133	34.3989	36.1336	35.5953	36.5671	35.1000	35.8906	37.6477	37.6417	37.0059	36.2746	35.4258	32.7513	30.0986	31.0392	30.5097	31.2562	29.8664	30.3273	30.9665	30.2511	30.0214	30.6570
51.2668	50.4989	48.9404	47.8913	46.7912	48.4149	46.1819	46.6757	46.7699	46.3000	46.4018	45.6509	44.5533	43.5680	43.4440	43.0243	42.0525	41.3568	44.6601	43.2205	40.8178	40.1831	39.5612	38.5598	38.8336	39.1108	39.1540
35.0584	35.2608	36.2431	34.9724	35.4195	34.2198	34.2666	35.7702	33.7784	32.8000	32.5615	32.8888	32.0862	31.3849	28.6591	29.0421	26.7218	23.9027	27.5648	26.3763	25.9535	26.0446	28.0788	29.1048	33.9559	35.6441	35.0998
35.9506	40.2467	39.8665	38.7566	39.8104	36.7457	36.7368	38.1586	41.7196	40.3000	39.3551	38.6619	38.6398	36.3035	36.9101	36.0403	35.8610	35.7770	31.8550	30.5713	26.5382	39.3456	39.4207	37.5740	37.2741	36.7285	35.8826
22.5119	23.7140	28.2283	28.4046	29.1364	28.9616	26.7844	26.8042	27.2801	27.7000	26.8363	26.7253	25.9973	24.7142	23.7225	22.3314	20.9636	21.1116	24.1493	22.7096	20.1254	19.9718	19.6422	19.2672	21.0417	20.9172	20.1085
35.4362	34.7831	35.5706	36.4168	36.1691	36.4847	35.9609	37.0446	39.1237	40.3000	38.7009	39.7869	40.3181	38.4745	37.8392	36.0203	34.5149	33.2941	32.8906	33.4800	31.7392	29.4031	29.5806	28.0397	27.1617	26.9798	26.8537
34.6558	34.8768	35.1726	32.1382	31.1927	29.9551	31.6937	33.0769	31.1685	33.6000	33.9411	32.6207	30.6137	27.9883	26.6742	27.2737	26.6372	27.6279	30.1323	29.6372	27.8993	27.5007	26.9075	24.9030	25.2868	24.4076	23.3842
14.3892	14.6675	14.7098	14.0364	13.1955	13.4686	13.0784	12.6924	12.6525	12.5000	12.5792	12.7468	12.0935	11.5028	11.3019	10.8633	10.1127	9.6614	11.3117	11.1474	10.5507	11.1185	11.0944	10.5790	11.5115	11.4062	10.7764
14.1245	14.2191	15.2744	14.8791	14.2408	14.2616	14.6014	14.0158	13.9598	13.8000	13.7284	14.4721	13.6112	12.5509	12.4507	11.7727	10.8228	10.1300	12.1253	11.7667	11.1482	11.7066	11.6357	11.3568	12.2288	12.1766	11.7151
54.1251	55.1584	56.8349	52.2868	51.7999	50.7351	50.3145	54.7947	52.5819	48.0000	57.8186	56.1223	56.0874	54.1435	49.6755	50.3206	48.8348	43.9689	51.6421	46.6514	42.2571	44.6211	45.7448	48.5906	52.6164	53.8937	52.0938
43.9230	44.5819	44.6698	43.9273	43.1137	41.5928	44.3377	41.7173	44.1744	45.1000	48.7986	48.8847	48.1913	45.7523	45.7755	45.8639	44.3665	44.3555	45.5212	45.6042	46.4376	45.4637	42.5487	45.2959	45.7745	45.3260	43.9843
64.3960	64.2107	62.5637	61.3957	67.8171	68.7874	67.2442	69.0647	68.1388	67.3000	66.7134	66.9095	65.5447	65.5012	65.1956	62.1553	62.0179	60.8240	62.8423	59.7514	54.8943	52.4737	51.2343	50.3834	53.4684	53.3697	51.5002
