OLDTR OLDARD  OLDPR  OLDSP D72 D73 D74 D75 D76 D77 D78 D79 D80 D81 D82 D83 D84
 312    220.0  9000 .02045 1   0   0   0   0   0   0   0   0   0   0   0   0 
 806    775.7 25920 .02643 1   0   0   0   0   0   0   0   0   0   0   0   0 
 806    775.7 19350 .02643 0   1   0   0   0   0   0   0   0   0   0   0   0 
 806    775.7 22680 .02643 0   0   1   0   0   0   0   0   0   0   0   0   0 
 806    775.7 22770 .02579 0   0   0   1   0   0   0   0   0   0   0   0   0 
 806    775.7 22770 .02579 0   0   0   0   1   0   0   0   0   0   0   0   0 
 806    775.7 22770 .02579 0   0   0   0   0   1   0   0   0   0   0   0   0 
1198   3084.0 48150 .05714 0   0   0   0   0   1   0   0   0   0   0   0   0 
1198   3084.0 48150 .05714 0   0   0   0   0   0   1   0   0   0   0   0   0 
1198   3084.0 38000 .05714 0   0   0   0   0   0   0   1   0   0   0   0   0 
1198   3084.0 31000 .05714 0   0   0   0   0   0   0   0   1   0   0   0   0 
1198   3084.0 31000 .05714 0   0   0   0   0   0   0   0   0   1   0   0   0 
1198   3084.0 32240 .05714 0   0   0   0   0   0   0   0   0   0   1   0   0 
3000  12192.0 84590 .16002 0   0   0   0   0   0   0   0   0   0   0   1   0 
3000  12192.0 84590 .16002 0   0   0   0   0   0   0   0   0   0   0   0   1 
 312    220.0 11370 .01964 1   0   0   0   0   0   0   0   0   0   0   0   0 

