0.02577	100	22000	0	0	0
0.02577	100	12500	1	0	0
0.02577	100	12500	0	1	0
0.02577	100	12500	0	0	1
0.04901	200	38500	0	1	0
0.04901	200	27500	0	0	1
0.0245	100	22000	0	0	0
0.0245	100	12000	1	0	0
0.0245	100	12000	0	1	0
0.0245	100	11000	0	0	1
0.04892	200	52033	0	0	0
0.04892	200	52900	1	0	0
0.05353	140	28000	1	0	0
0.05353	140	26600	0	1	0
0.05353	140	25200	0	0	1
0.05353	559	49500	0	0	1
0.05719	635	49500	0	0	1
0.02645	100	31060	0	0	0
0.02645	100	31060	1	0	0
0.02645	100	22480	0	1	0
0.02645	100	22480	0	0	1
0.0618	140	20200	0	0	1
0.05289	200	51940	0	0	0
0.05289	200	38000	1	0	0
0.05289	200	39500	0	1	0
0.05289	200	39500	0	0	1
0.02643	100	19350	0	0	0
0.02643	100	22680	1	0	0
0.02579	100	22770	0	1	0
0.02579	100	22770	0	0	1
